"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_rate","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07KX5V1LC","X001YUO5YX","VNFLY 2-Pack Rocket Pens, 4-Color Ballpoint Pen, Fat Pens, Jumbo Pens with Rubber Grip (Blue)","AKC1","US","5.05","4.0","1.02","inches","0.1","pounds","0.0119","cubic feet","Standard-Size","0.61","0.0","0.0069","2023-03","0.87","USD","0.006","--","N","N","0.0","--","0.03"
"B07V27BG9M","X0028ME04L","Nidavellir 2-Pack Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver & Bronze)","AKC1","US","4.96","3.43","1.14","inches","0.2","pounds","0.0112","cubic feet","Standard-Size","1.0","0.0","0.0109","2023-03","0.87","USD","0.0095","--","N","N","0.0","--","0.03"
"B07V5FRPQR","X0028QCO2R","VNFLY Glove Keychain Glove Key Ring, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","4.37","1.65","1.34","inches","0.12","pounds","0.0056","cubic feet","Standard-Size","8.0","0.0","0.0444","2023-03","0.87","USD","0.0386","--","N","N","0.0","--","0.06"
"B07XX7P9F6","X002BBZPYN","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AKC1","US","6.46","5.28","2.2","inches","0.35","pounds","0.0434","cubic feet","Standard-Size","30.06","0.0","1.3056","2023-03","0.87","USD","1.1358","--","N","N","0.0","--","0.0"
"B085L7PY6Z","X002HF85EP","365Home Metal Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend (Silver)","AKC1","US","3.15","1.89","1.02","inches","0.2","pounds","0.0035","cubic feet","Standard-Size","9.45","0.0","0.0331","2023-03","0.87","USD","0.0288","--","N","N","0.0","--","0.03"
"B08Y5PSHJ9","X002TPQ8ZL","365Home Multifunction Barbecue Meat Skewer Machine BBQ Meat String Device Quick Portable Meat Skewer Box Easy Skewer Tools Kebab Maker BBQ Gadget","AKC1","US","7.4","5.24","1.61","inches","0.24","pounds","0.0361","cubic feet","Standard-Size","0.16","0.0","0.0012","2023-03","0.87","USD","0.001","--","N","N","0.0","--","0.13"
"B08ZNH5HQP","X002UDI1VV","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 White)","AKC1","US","7.32","4.88","3.23","inches","0.22","pounds","0.0668","cubic feet","Standard-Size","2.0","0.0","0.1335","2023-03","0.87","USD","0.1162","--","N","N","0.0","--","0.0"
"B08ZNH2YZW","X002UDI1W5","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Black & 2 White)","AKC1","US","7.72","5.28","2.6","inches","0.31","pounds","0.0613","cubic feet","Standard-Size","1.0","0.0","0.0613","2023-03","0.87","USD","0.0534","--","N","N","0.0","--","0.0"
"B08ZNHTDXB","X002UDIWO7","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (4 Black)","AKC1","US","17.48","2.44","2.4","inches","0.57","pounds","0.0592","cubic feet","Standard-Size","0.06","0.0","0.0019","2023-03","0.87","USD","0.0017","--","N","N","0.0","--","0.03"
"B0B42L59Q7","X003A8B6O9","365Home Bowl Cozy Template 3 Sizes, Bowl Cozy Pattern Template, Bowl Cozy Template Cutting Ruler Set with 40 Pcs of Sewing Pin, Roller Cutter and Manual Instruction","AKC1","US","13.66","10.47","1.3","inches","0.95","pounds","0.1076","cubic feet","Standard-Size","7.13","0.0","0.7671","2023-03","0.87","USD","0.6673","--","N","N","0.0","--","0.0"
"B0B42HXW3P","X003A8GAYP","365Home Bowl Cozy Template 3 Sizes, Bowl Cozy Pattern Template, Bowl Cozy Template Cutting Ruler Set with 40 Pcs of Sewing Pin and Manual Instruction","AKC1","US","11.89","11.57","0.63","inches","0.71","pounds","0.0502","cubic feet","Standard-Size","23.06","0.0","1.1552","2023-03","0.87","USD","1.005","--","N","N","0.0","--","0.03"
"B0BC8YQDHF","X003DL1VHZ","365Home 2-Pack Vegetable Green Bean Onion Pepper Cutter Slicer Frencher Shredder, 3-in-1 Multifunctional Fruit Vegetable Apple Cucumber Tomato Carrot Potato Peeler with Rotating Head","AKC1","US","4.96","4.02","2.68","inches","0.2","pounds","0.0309","cubic feet","Standard-Size","2.0","0.32","0.0519","2023-03","0.87","USD","0.0451","--","N","N","0.0","--","0.0"
"B0BG8CXVYP","X003FFCYHZ","365Home 2-Pack Colorful Rotating Magic Ball Light, Magic Light Bulb with Sockets, Plug in Disco Ball Light Bulb for Home Room Dance Parties","AKC1","US","7.72","5.35","4.06","inches","0.64","pounds","0.097","cubic feet","Standard-Size","13.0","0.0","1.2615","2023-03","0.87","USD","1.0975","--","N","N","0.0","--","0.0"
"B0BNQT3YN6","X003K54XY7","365Home 4-Packs Car Window Breaker Seatbelt Cutter, 3-in-1 Glass Breaker and Seat Belt Cutter, Car Emergency Escape Tool with User Manual for Land and Underwater (Black Red Blue Yellow)","AKC1","US","6.93","5.63","2.72","inches","0.4","pounds","0.0614","cubic feet","Standard-Size","0.03","0.0","0.002","2023-03","0.87","USD","0.0017","--","N","N","0.0","--","0.0"
"B0BG39X4ZF","X003K6AQYR","1TO3GO Dog Training Collar, No Pull Dog Collar with 4 Extra Links for Medium, Large and X-Large Dogs (A)","AKC1","US","6.5","6.4","1.2","inches","0.45","pounds","0.0289","cubic feet","Standard-Size","0.06","0.0","0.0019","2023-03","0.87","USD","0.0016","--","N","N","0.0","--","0.0"
"B0BPHXQM78","X003KD711B","365Home 2-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 12/13/14 Charger (White & Gray)","AKC1","US","4.49","3.5","1.57","inches","0.22","pounds","0.0143","cubic feet","Standard-Size","0.55","0.0","0.0078","2023-03","0.87","USD","0.0068","--","N","N","0.0","--","0.0"
"B0BPHZT4JJ","X003KD945H","365Home 2-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 12/13/14 Charger (Black & Pink)","AKC1","US","4.13","3.31","1.46","inches","0.2","pounds","0.0116","cubic feet","Standard-Size","0.19","0.0","0.0022","2023-03","0.87","USD","0.0019","--","N","N","0.0","--","0.0"
"B0BPHZ362T","X003KD97CR","365Home 4-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 12/13/14 Charger","AKC1","US","8.9","6.34","1.77","inches","0.37","pounds","0.0578","cubic feet","Standard-Size","26.65","0.0","1.5027","2023-03","0.87","USD","1.3095","--","N","N","0.0","--","0.65"
"B0BPX7H7R7","X003KIPJ6F","365Home 3-Pack 3 in 1 Multifunctional Cleaning Brush, Bottle Gap Cleaner Brush, Cup Lid Cleaning Brush, Mini Brush Cleaner for Home, Kitchen, Travel","AKC1","US","6.06","4.65","0.94","inches","0.02","pounds","0.0153","cubic feet","Standard-Size","12.0","1.16","0.1661","2023-03","0.87","USD","0.1445","--","N","N","0.0","--","0.0"
"B0BPXDG3VW","X003KIV21L","365Home 6-Pack 3 in 1 Multifunctional Cleaning Brush, Bottle Gap Cleaner Brush, Cup Lid Cleaning Brush and 2-Pack Straw Cleaner Brush, Bottle and Straw Brush Cleaning Set","AKC1","US","9.17","6.06","0.98","inches","0.68","pounds","0.0315","cubic feet","Standard-Size","6.0","0.58","0.1708","2023-03","0.87","USD","0.1486","--","N","N","0.0","--","0.0"
"B0BR3PJZJ4","X003KX4KVZ","365Home 2-Pack Spoon and Lid Rest, Spoon Rest with Lid Holder and 2-Pack Spill-proof Lid Lifter, Kitchen Gadgets Accessories for Cooking","AKC1","US","8.23","7.72","2.68","inches","0.57","pounds","0.0985","cubic feet","Standard-Size","0.03","0.0","0.0032","2023-03","0.87","USD","0.0028","--","N","N","0.0","--","0.0"
